time,x,y,z,vx,vy,vz,psi,theta,phi,omega_x,omega_y,omega_z,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,qddot1,qddot2,qddot3,qddot4,qddot5,qddot6,qddot7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,r1,r2,r3,r4,r5,r6,r7,r8,r9
0.000000,1.104033,-1.269496,0.471935,-0.000000,0.000000,-0.000000,-0.785400,-0.349100,3.141600,0.000000,0.000000,-0.000000,-0.785398,2.356194,0.000000,-1.570796,0.000000,2.705260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.778172,3.819877,-35.072462,-1.063257,17.703573,0.000044,0.664454,-0.707106,0.241872,-0.664456,-0.707107,-0.241863,0.342052,-0.000007,-0.939681
0.010000,1.104033,-1.269496,0.471935,-0.000000,0.000001,-0.000001,-0.785400,-0.349100,3.141600,0.000000,0.000001,-0.000002,-0.784123,2.356376,-0.001096,-1.570653,0.001318,2.705222,-0.000460,0.127487,0.018124,-0.109588,0.014337,0.131834,-0.003788,-0.045996,12.748723,1.812369,-10.958766,1.433701,13.183398,-0.378774,-4.599595,24.147435,82.277882,9.980414,-35.718754,-1.055877,17.735118,0.000046,0.664454,-0.707106,0.241872,-0.664456,-0.707107,-0.241863,0.342052,-0.000007,-0.939681
0.020000,1.104033,-1.269496,0.471935,-0.000001,0.000002,-0.000003,-0.785400,-0.349100,3.141600,0.000000,0.000006,-0.000006,-0.782856,2.356555,-0.002186,-1.570511,0.002629,2.705184,-0.000917,0.126761,0.017928,-0.108974,0.014162,0.131033,-0.003893,-0.045721,-0.072628,-0.019593,0.061410,-0.017481,-0.080091,-0.010575,0.027488,-0.141301,82.771915,3.741371,-35.067927,-1.066068,17.702934,0.000044,0.664454,-0.707106,0.241872,-0.664456,-0.707107,-0.241863,0.342052,-0.000007,-0.939681
0.030000,1.104033,-1.269496,0.471935,-0.000003,0.000005,-0.000006,-0.785400,-0.349100,3.141600,0.000000,0.000013,-0.000014,-0.781595,2.356732,-0.003269,-1.570371,0.003931,2.705144,-0.001372,0.126039,0.017737,-0.108365,0.013994,0.130235,-0.003997,-0.045444,-0.072196,-0.019093,0.060819,-0.016789,-0.079838,-0.010379,0.027728,-0.140529,82.767069,3.700146,-35.066639,-1.068789,17.702753,0.000045,0.664453,-0.707106,0.241872,-0.664456,-0.707107,-0.241863,0.342052,-0.000007,-0.939681
0.040000,1.104033,-1.269496,0.471935,-0.000005,0.000008,-0.000011,-0.785400,-0.349100,3.141600,0.000000,0.000023,-0.000026,-0.780342,2.356908,-0.004347,-1.570233,0.005225,2.705103,-0.001823,0.125321,0.017551,-0.107763,0.013833,0.129439,-0.004099,-0.045164,-0.071763,-0.018596,0.060229,-0.016098,-0.079587,-0.010184,0.027968,-0.139756,82.762216,3.659171,-35.065329,-1.071493,17.702572,0.000045,0.664453,-0.707107,0.241872,-0.664456,-0.707107,-0.241863,0.342052,-0.000007,-0.939681
0.050000,1.104033,-1.269496,0.471934,-0.000008,0.000013,-0.000017,-0.785401,-0.349100,3.141600,0.000001,0.000037,-0.000040,-0.779096,2.357082,-0.005419,-1.570096,0.006512,2.705061,-0.002272,0.124608,0.017370,-0.107167,0.013679,0.128645,-0.004199,-0.044882,-0.071327,-0.018102,0.059639,-0.015408,-0.079338,-0.009992,0.028207,-0.138983,82.757355,3.618446,-35.063998,-1.074181,17.702392,0.000045,0.664453,-0.707107,0.241871,-0.664456,-0.707107,-0.241863,0.342052,-0.000006,-0.939681
0.060000,1.104033,-1.269496,0.471934,-0.000011,0.000018,-0.000024,-0.785401,-0.349099,3.141599,0.000001,0.000053,-0.000057,-0.777857,2.357254,-0.006484,-1.569961,0.007790,2.705018,-0.002718,0.123899,0.017194,-0.106576,0.013532,0.127855,-0.004297,-0.044598,-0.070891,-0.017612,0.059050,-0.014720,-0.079091,-0.009802,0.028447,-0.138209,82.752486,3.577968,-35.062646,-1.076852,17.702212,0.000045,0.664453,-0.707107,0.241871,-0.664457,-0.707106,-0.241863,0.342052,-0.000006,-0.939681
0.070000,1.104033,-1.269496,0.471934,-0.000015,0.000025,-0.000033,-0.785401,-0.349099,3.141599,0.000001,0.000072,-0.000078,-0.776625,2.357424,-0.007544,-1.569827,0.009061,2.704974,-0.003161,0.123195,0.017023,-0.105992,0.013392,0.127066,-0.004393,-0.044311,-0.070452,-0.017124,0.058461,-0.014034,-0.078846,-0.009614,0.028687,-0.137435,82.747607,3.537736,-35.061274,-1.079506,17.702032,0.000045,0.664453,-0.707108,0.241870,-0.664457,-0.707106,-0.241863,0.342051,-0.000006,-0.939681
0.080000,1.104033,-1.269496,0.471934,-0.000019,0.000033,-0.000043,-0.785402,-0.349098,3.141598,0.000002,0.000094,-0.000102,-0.775400,2.357592,-0.008598,-1.569694,0.010324,2.704929,-0.003601,0.122495,0.016856,-0.105413,0.013258,0.126280,-0.004487,-0.044021,-0.070013,-0.016640,0.057874,-0.013349,-0.078602,-0.009427,0.028927,-0.136660,82.742717,3.497748,-35.059881,-1.082141,17.701854,0.000045,0.664453,-0.707108,0.241869,-0.664458,-0.707105,-0.241863,0.342051,-0.000005,-0.939682
0.090000,1.104033,-1.269495,0.471933,-0.000025,0.000041,-0.000054,-0.785403,-0.349097,3.141597,0.000002,0.000119,-0.000129,-0.774182,2.357759,-0.009647,-1.569563,0.011579,2.704883,-0.004039,0.121799,0.016695,-0.104840,0.013132,0.125496,-0.004580,-0.043730,-0.069572,-0.016159,0.057287,-0.012666,-0.078361,-0.009243,0.029167,-0.135885,82.737815,3.458000,-35.058469,-1.084757,17.701676,0.000045,0.664452,-0.707109,0.241868,-0.664459,-0.707105,-0.241864,0.342050,-0.000004,-0.939682
